,begin,end,link,counts
0,0.0,900.0,10_16,62.0
1,0.0,900.0,10_4,80.0
2,0.0,900.0,10_9,75.0
3,0.0,900.0,12_13,131.0
4,0.0,900.0,13_12,99.0
5,0.0,900.0,13_14,50.0
6,0.0,900.0,13_19,40.0
7,0.0,900.0,13_7,87.0
8,0.0,900.0,14_13,31.0
9,0.0,900.0,14_15,62.0
10,0.0,900.0,14_20,132.0
11,0.0,900.0,14_8,38.0
12,0.0,900.0,15_14,22.0
13,0.0,900.0,15_16,64.0
14,0.0,900.0,15_21,53.0
15,0.0,900.0,15_9,18.0
16,0.0,900.0,16_10,68.0
17,0.0,900.0,16_15,120.0
18,0.0,900.0,16_17,98.0
19,0.0,900.0,16_22,103.0
20,0.0,900.0,17_16,209.0
21,0.0,900.0,18_19,139.0
22,0.0,900.0,19_13,59.0
23,0.0,900.0,19_18,97.0
24,0.0,900.0,19_20,114.0
25,0.0,900.0,19_25,75.0
26,0.0,900.0,1_7,148.0
27,0.0,900.0,20_14,167.0
28,0.0,900.0,20_19,59.0
29,0.0,900.0,20_21,6.0
30,0.0,900.0,20_26,46.0
31,0.0,900.0,21_15,52.0
32,0.0,900.0,21_20,4.0
33,0.0,900.0,21_22,45.0
34,0.0,900.0,21_27,108.0
35,0.0,900.0,22_16,112.0
36,0.0,900.0,22_21,102.0
37,0.0,900.0,22_23,109.0
38,0.0,900.0,22_28,22.0
39,0.0,900.0,23_22,173.0
40,0.0,900.0,25_19,141.0
41,0.0,900.0,25_26,78.0
42,0.0,900.0,25_31,114.0
43,0.0,900.0,26_20,76.0
44,0.0,900.0,26_25,105.0
45,0.0,900.0,26_27,101.0
46,0.0,900.0,26_32,91.0
47,0.0,900.0,27_21,106.0
48,0.0,900.0,27_26,147.0
49,0.0,900.0,27_28,78.0
50,0.0,900.0,27_33,97.0
51,0.0,900.0,28_22,49.0
52,0.0,900.0,28_27,97.0
53,0.0,900.0,28_34,98.0
54,0.0,900.0,2_8,195.0
55,0.0,900.0,31_25,178.0
