,begin,end,link,counts
0,0.0,900.0,10_16,69.0
1,0.0,900.0,10_4,76.0
2,0.0,900.0,10_9,115.0
3,0.0,900.0,12_13,195.0
4,0.0,900.0,13_12,93.0
5,0.0,900.0,13_14,44.0
6,0.0,900.0,13_19,35.0
7,0.0,900.0,13_7,80.0
8,0.0,900.0,14_13,26.0
9,0.0,900.0,14_15,59.0
10,0.0,900.0,14_20,106.0
11,0.0,900.0,14_8,7.0
12,0.0,900.0,15_14,6.0
13,0.0,900.0,15_16,54.0
14,0.0,900.0,15_21,53.0
15,0.0,900.0,15_9,28.0
16,0.0,900.0,16_10,55.0
17,0.0,900.0,16_15,98.0
18,0.0,900.0,16_17,76.0
19,0.0,900.0,16_22,76.0
20,0.0,900.0,17_16,139.0
21,0.0,900.0,18_19,213.0
22,0.0,900.0,19_13,58.0
23,0.0,900.0,19_18,89.0
24,0.0,900.0,19_20,154.0
25,0.0,900.0,19_25,116.0
26,0.0,900.0,1_7,135.0
27,0.0,900.0,20_14,174.0
28,0.0,900.0,20_19,53.0
29,0.0,900.0,20_21,14.0
30,0.0,900.0,20_26,49.0
31,0.0,900.0,21_15,68.0
32,0.0,900.0,21_20,5.0
33,0.0,900.0,21_22,63.0
34,0.0,900.0,21_27,93.0
35,0.0,900.0,22_16,133.0
36,0.0,900.0,22_21,70.0
37,0.0,900.0,22_23,107.0
38,0.0,900.0,22_28,16.0
39,0.0,900.0,23_22,171.0
40,0.0,900.0,25_19,166.0
41,0.0,900.0,25_26,103.0
42,0.0,900.0,25_31,106.0
43,0.0,900.0,26_20,53.0
44,0.0,900.0,26_25,88.0
45,0.0,900.0,26_27,104.0
46,0.0,900.0,26_32,81.0
47,0.0,900.0,27_21,141.0
48,0.0,900.0,27_26,97.0
49,0.0,900.0,27_28,55.0
50,0.0,900.0,27_33,89.0
51,0.0,900.0,28_22,40.0
52,0.0,900.0,28_27,119.0
53,0.0,900.0,28_34,70.0
54,0.0,900.0,2_8,208.0
55,0.0,900.0,31_25,203.0
56,0.0,900.0,32_26,164.0
57,0.0,900.0,33_27,105.0
58,0.0,900.0,34_28,175.0
59,0.0,900.0,3_9,128.0
60,0.0,900.0,4_10,188.0
61,0.0,900.0,7_1,96.0
62,0.0,900.0,7_13,64.0
63,0.0,900.0,7_8,89.0
64,0.0,900.0,8_14,119.0
65,0.0,900.0,8_2,71.0
66,0.0,900.0,8_7,80.0
67,0.0,900.0,8_9,184.0
68,0.0,900.0,9_10,47.0
69,0.0,900.0,9_15,114.0
70,0.0,900.0,9_3,64.0
71,0.0,900.0,9_8,188.0
72,900.0,1800.0,10_16,85.0
73,900.0,1800.0,10_4,124.0
74,900.0,1800.0,10_9,59.0
75,900.0,1800.0,12_13,124.0
76,900.0,1800.0,13_12,129.0
77,900.0,1800.0,13_14,55.0
78,900.0,1800.0,13_19,37.0
79,900.0,1800.0,13_7,136.0
80,900.0,1800.0,14_13,51.0
81,900.0,1800.0,14_15,61.0
82,900.0,1800.0,14_20,183.0
83,900.0,1800.0,14_8,126.0
84,900.0,1800.0,15_14,11.0
85,900.0,1800.0,15_16,37.0
86,900.0,1800.0,15_21,53.0
87,900.0,1800.0,15_9,22.0
88,900.0,1800.0,16_10,68.0
89,900.0,1800.0,16_15,184.0
90,900.0,1800.0,16_17,125.0
91,900.0,1800.0,16_22,102.0
92,900.0,1800.0,17_16,97.0
93,900.0,1800.0,18_19,191.0
94,900.0,1800.0,19_13,89.0
95,900.0,1800.0,19_18,168.0
96,900.0,1800.0,19_20,168.0
97,900.0,1800.0,19_25,111.0
98,900.0,1800.0,1_7,122.0
99,900.0,1800.0,20_14,248.0
100,900.0,1800.0,20_19,105.0
101,900.0,1800.0,20_21,25.0
102,900.0,1800.0,20_26,87.0
103,900.0,1800.0,21_15,35.0
104,900.0,1800.0,21_20,21.0
105,900.0,1800.0,21_22,97.0
106,900.0,1800.0,21_27,134.0
107,900.0,1800.0,22_16,188.0
108,900.0,1800.0,22_21,108.0
109,900.0,1800.0,22_23,116.0
110,900.0,1800.0,22_28,42.0
111,900.0,1800.0,23_22,226.0
112,900.0,1800.0,25_19,191.0
113,900.0,1800.0,25_26,107.0
114,900.0,1800.0,25_31,135.0
115,900.0,1800.0,26_20,118.0
116,900.0,1800.0,26_25,120.0
117,900.0,1800.0,26_27,136.0
118,900.0,1800.0,26_32,122.0
119,900.0,1800.0,27_21,150.0
120,900.0,1800.0,27_26,102.0
121,900.0,1800.0,27_28,117.0
122,900.0,1800.0,27_33,117.0
123,900.0,1800.0,28_22,44.0
124,900.0,1800.0,28_27,103.0
125,900.0,1800.0,28_34,156.0
126,900.0,1800.0,2_8,188.0
127,900.0,1800.0,31_25,201.0
128,900.0,1800.0,32_26,181.0
129,900.0,1800.0,33_27,166.0
130,900.0,1800.0,34_28,221.0
131,900.0,1800.0,3_9,104.0
132,900.0,1800.0,4_10,187.0
133,900.0,1800.0,7_1,128.0
134,900.0,1800.0,7_13,79.0
135,900.0,1800.0,7_8,78.0
136,900.0,1800.0,8_14,109.0
137,900.0,1800.0,8_2,83.0
138,900.0,1800.0,8_7,82.0
139,900.0,1800.0,8_9,247.0
140,900.0,1800.0,9_10,92.0
141,900.0,1800.0,9_15,106.0
142,900.0,1800.0,9_3,105.0
143,900.0,1800.0,9_8,119.0
144,1800.0,2700.0,10_16,139.0
145,1800.0,2700.0,10_4,82.0
146,1800.0,2700.0,10_9,82.0
