,begin,end,link,counts
0,0.0,900.0,10_16,69.0
1,0.0,900.0,10_4,80.0
2,0.0,900.0,10_9,72.0
3,0.0,900.0,12_13,156.0
4,0.0,900.0,13_12,127.0
5,0.0,900.0,13_14,77.0
6,0.0,900.0,13_19,71.0
7,0.0,900.0,13_7,65.0
8,0.0,900.0,14_13,47.0
9,0.0,900.0,14_15,65.0
10,0.0,900.0,14_20,133.0
11,0.0,900.0,14_8,68.0
12,0.0,900.0,15_14,39.0
13,0.0,900.0,15_16,53.0
14,0.0,900.0,15_21,82.0
15,0.0,900.0,15_9,68.0
16,0.0,900.0,16_10,36.0
17,0.0,900.0,16_15,106.0
18,0.0,900.0,16_17,104.0
19,0.0,900.0,16_22,109.0
20,0.0,900.0,17_16,123.0
21,0.0,900.0,18_19,193.0
22,0.0,900.0,19_13,58.0
23,0.0,900.0,19_18,80.0
24,0.0,900.0,19_20,108.0
25,0.0,900.0,19_25,117.0
26,0.0,900.0,1_7,191.0
27,0.0,900.0,20_14,169.0
28,0.0,900.0,20_19,44.0
29,0.0,900.0,20_21,18.0
30,0.0,900.0,20_26,68.0
31,0.0,900.0,21_15,54.0
32,0.0,900.0,21_20,2.0
33,0.0,900.0,21_22,82.0
34,0.0,900.0,21_27,90.0
35,0.0,900.0,22_16,142.0
36,0.0,900.0,22_21,47.0
37,0.0,900.0,22_23,133.0
38,0.0,900.0,22_28,27.0
39,0.0,900.0,23_22,145.0
40,0.0,900.0,25_19,97.0
41,0.0,900.0,25_26,104.0
42,0.0,900.0,25_31,93.0
43,0.0,900.0,26_20,100.0
44,0.0,900.0,26_25,54.0
45,0.0,900.0,26_27,152.0
46,0.0,900.0,26_32,89.0
47,0.0,900.0,27_21,135.0
48,0.0,900.0,27_26,101.0
49,0.0,900.0,27_28,84.0
50,0.0,900.0,27_33,118.0
51,0.0,900.0,28_22,42.0
52,0.0,900.0,28_27,82.0
53,0.0,900.0,28_34,109.0
54,0.0,900.0,2_8,156.0
55,0.0,900.0,31_25,144.0
56,0.0,900.0,32_26,166.0
57,0.0,900.0,33_27,160.0
58,0.0,900.0,34_28,179.0
59,0.0,900.0,3_9,157.0
60,0.0,900.0,4_10,135.0
61,0.0,900.0,7_1,67.0
62,0.0,900.0,7_13,105.0
63,0.0,900.0,7_8,106.0
64,0.0,900.0,8_14,76.0
65,0.0,900.0,8_2,77.0
66,0.0,900.0,8_7,82.0
67,0.0,900.0,8_9,216.0
68,0.0,900.0,9_10,67.0
69,0.0,900.0,9_15,138.0
70,0.0,900.0,9_3,111.0
71,0.0,900.0,9_8,144.0
72,900.0,1800.0,10_16,76.0
73,900.0,1800.0,10_4,114.0
74,900.0,1800.0,10_9,60.0
75,900.0,1800.0,12_13,161.0
76,900.0,1800.0,13_12,112.0
77,900.0,1800.0,13_14,81.0
78,900.0,1800.0,13_19,72.0
79,900.0,1800.0,13_7,78.0
80,900.0,1800.0,14_13,56.0
81,900.0,1800.0,14_15,80.0
82,900.0,1800.0,14_20,150.0
83,900.0,1800.0,14_8,96.0
84,900.0,1800.0,15_14,21.0
85,900.0,1800.0,15_16,85.0
86,900.0,1800.0,15_21,79.0
87,900.0,1800.0,15_9,22.0
88,900.0,1800.0,16_10,76.0
89,900.0,1800.0,16_15,136.0
90,900.0,1800.0,16_17,123.0
91,900.0,1800.0,16_22,119.0
92,900.0,1800.0,17_16,154.0
93,900.0,1800.0,18_19,161.0
94,900.0,1800.0,19_13,47.0
95,900.0,1800.0,19_18,125.0
96,900.0,1800.0,19_20,111.0
97,900.0,1800.0,19_25,141.0
98,900.0,1800.0,1_7,133.0
99,900.0,1800.0,20_14,202.0
100,900.0,1800.0,20_19,76.0
101,900.0,1800.0,20_21,13.0
102,900.0,1800.0,20_26,91.0
103,900.0,1800.0,21_15,65.0
104,900.0,1800.0,21_20,8.0
105,900.0,1800.0,21_22,86.0
106,900.0,1800.0,21_27,142.0
107,900.0,1800.0,22_16,137.0
108,900.0,1800.0,22_21,47.0
109,900.0,1800.0,22_23,141.0
110,900.0,1800.0,22_28,60.0
111,900.0,1800.0,23_22,140.0
112,900.0,1800.0,25_19,105.0
113,900.0,1800.0,25_26,113.0
114,900.0,1800.0,25_31,116.0
115,900.0,1800.0,26_20,103.0
116,900.0,1800.0,26_25,49.0
117,900.0,1800.0,26_27,170.0
118,900.0,1800.0,26_32,132.0
119,900.0,1800.0,27_21,150.0
120,900.0,1800.0,27_26,103.0
121,900.0,1800.0,27_28,149.0
122,900.0,1800.0,27_33,150.0
123,900.0,1800.0,28_22,39.0
124,900.0,1800.0,28_27,69.0
125,900.0,1800.0,28_34,207.0
126,900.0,1800.0,2_8,130.0
127,900.0,1800.0,31_25,143.0
128,900.0,1800.0,32_26,139.0
129,900.0,1800.0,33_27,163.0
