,begin,end,link,counts
0,0.0,900.0,10_16,53.0
1,0.0,900.0,10_4,110.0
2,0.0,900.0,10_9,91.0
3,0.0,900.0,12_13,179.0
4,0.0,900.0,13_12,89.0
5,0.0,900.0,13_14,62.0
6,0.0,900.0,13_19,46.0
7,0.0,900.0,13_7,97.0
8,0.0,900.0,14_13,24.0
9,0.0,900.0,14_15,53.0
10,0.0,900.0,14_20,98.0
11,0.0,900.0,14_8,45.0
12,0.0,900.0,15_14,14.0
13,0.0,900.0,15_16,69.0
14,0.0,900.0,15_21,79.0
15,0.0,900.0,15_9,34.0
16,0.0,900.0,16_10,72.0
17,0.0,900.0,16_15,94.0
18,0.0,900.0,16_17,113.0
19,0.0,900.0,16_22,87.0
20,0.0,900.0,17_16,153.0
21,0.0,900.0,18_19,193.0
22,0.0,900.0,19_13,52.0
23,0.0,900.0,19_18,78.0
24,0.0,900.0,19_20,146.0
25,0.0,900.0,19_25,102.0
26,0.0,900.0,1_7,187.0
27,0.0,900.0,20_14,183.0
28,0.0,900.0,20_19,34.0
29,0.0,900.0,20_21,13.0
30,0.0,900.0,20_26,54.0
31,0.0,900.0,21_15,66.0
32,0.0,900.0,21_20,3.0
33,0.0,900.0,21_22,91.0
34,0.0,900.0,21_27,106.0
35,0.0,900.0,22_16,133.0
36,0.0,900.0,22_21,68.0
37,0.0,900.0,22_23,118.0
38,0.0,900.0,22_28,31.0
39,0.0,900.0,23_22,162.0
40,0.0,900.0,25_19,150.0
41,0.0,900.0,25_26,77.0
42,0.0,900.0,25_31,112.0
43,0.0,900.0,26_20,70.0
44,0.0,900.0,26_25,80.0
45,0.0,900.0,26_27,113.0
46,0.0,900.0,26_32,91.0
47,0.0,900.0,27_21,167.0
48,0.0,900.0,27_26,100.0
49,0.0,900.0,27_28,57.0
50,0.0,900.0,27_33,114.0
51,0.0,900.0,28_22,40.0
52,0.0,900.0,28_27,82.0
53,0.0,900.0,28_34,88.0
54,0.0,900.0,2_8,175.0
55,0.0,900.0,31_25,188.0
56,0.0,900.0,32_26,206.0
57,0.0,900.0,33_27,176.0
58,0.0,900.0,34_28,150.0
59,0.0,900.0,3_9,137.0
60,0.0,900.0,4_10,122.0
61,0.0,900.0,7_1,72.0
62,0.0,900.0,7_13,87.0
63,0.0,900.0,7_8,112.0
64,0.0,900.0,8_14,66.0
65,0.0,900.0,8_2,55.0
66,0.0,900.0,8_7,68.0
67,0.0,900.0,8_9,233.0
68,0.0,900.0,9_10,80.0
69,0.0,900.0,9_15,162.0
70,0.0,900.0,9_3,69.0
71,0.0,900.0,9_8,129.0
72,900.0,1800.0,10_16,93.0
73,900.0,1800.0,10_4,144.0
74,900.0,1800.0,10_9,82.0
75,900.0,1800.0,12_13,129.0
76,900.0,1800.0,13_12,102.0
77,900.0,1800.0,13_14,72.0
78,900.0,1800.0,13_19,41.0
79,900.0,1800.0,13_7,80.0
80,900.0,1800.0,14_13,39.0
81,900.0,1800.0,14_15,71.0
82,900.0,1800.0,14_20,138.0
83,900.0,1800.0,14_8,95.0
84,900.0,1800.0,15_14,10.0
85,900.0,1800.0,15_16,67.0
86,900.0,1800.0,15_21,76.0
87,900.0,1800.0,15_9,18.0
88,900.0,1800.0,16_10,84.0
89,900.0,1800.0,16_15,171.0
90,900.0,1800.0,16_17,120.0
91,900.0,1800.0,16_22,90.0
92,900.0,1800.0,17_16,155.0
93,900.0,1800.0,18_19,178.0
94,900.0,1800.0,19_13,55.0
95,900.0,1800.0,19_18,96.0
96,900.0,1800.0,19_20,163.0
97,900.0,1800.0,19_25,119.0
98,900.0,1800.0,1_7,143.0
99,900.0,1800.0,20_14,222.0
100,900.0,1800.0,20_19,61.0
101,900.0,1800.0,20_21,22.0
102,900.0,1800.0,20_26,85.0
103,900.0,1800.0,21_15,28.0
104,900.0,1800.0,21_20,10.0
105,900.0,1800.0,21_22,131.0
106,900.0,1800.0,21_27,132.0
107,900.0,1800.0,22_16,157.0
108,900.0,1800.0,22_21,53.0
109,900.0,1800.0,22_23,170.0
110,900.0,1800.0,22_28,38.0
111,900.0,1800.0,23_22,133.0
112,900.0,1800.0,25_19,145.0
113,900.0,1800.0,25_26,120.0
114,900.0,1800.0,25_31,105.0
115,900.0,1800.0,26_20,87.0
116,900.0,1800.0,26_25,75.0
117,900.0,1800.0,26_27,140.0
118,900.0,1800.0,26_32,133.0
119,900.0,1800.0,27_21,200.0
120,900.0,1800.0,27_26,131.0
121,900.0,1800.0,27_28,88.0
122,900.0,1800.0,27_33,151.0
123,900.0,1800.0,28_22,55.0
124,900.0,1800.0,28_27,66.0
125,900.0,1800.0,28_34,124.0
126,900.0,1800.0,2_8,134.0
127,900.0,1800.0,31_25,175.0
128,900.0,1800.0,32_26,142.0
129,900.0,1800.0,33_27,245.0
130,900.0,1800.0,34_28,184.0
131,900.0,1800.0,3_9,146.0
132,900.0,1800.0,4_10,186.0
133,900.0,1800.0,7_1,127.0
134,900.0,1800.0,7_13,87.0
135,900.0,1800.0,7_8,114.0
136,900.0,1800.0,8_14,101.0
137,900.0,1800.0,8_2,80.0
138,900.0,1800.0,8_7,101.0
139,900.0,1800.0,8_9,229.0
140,900.0,1800.0,9_10,107.0
141,900.0,1800.0,9_15,106.0
142,900.0,1800.0,9_3,95.0
143,900.0,1800.0,9_8,177.0
144,1800.0,2700.0,10_16,81.0
145,1800.0,2700.0,10_4,156.0
146,1800.0,2700.0,10_9,33.0
147,1800.0,2700.0,12_13,193.0
148,1800.0,2700.0,13_12,110.0
149,1800.0,2700.0,13_14,54.0
150,1800.0,2700.0,13_19,47.0
151,1800.0,2700.0,13_7,90.0
152,1800.0,2700.0,14_13,60.0
153,1800.0,2700.0,14_15,58.0
154,1800.0,2700.0,14_20,159.0
155,1800.0,2700.0,14_8,119.0
156,1800.0,2700.0,15_14,7.0
157,1800.0,2700.0,15_16,137.0
158,1800.0,2700.0,15_21,52.0
159,1800.0,2700.0,15_9,9.0
160,1800.0,2700.0,16_10,63.0
161,1800.0,2700.0,16_15,49.0
162,1800.0,2700.0,16_17,155.0
163,1800.0,2700.0,16_22,147.0
164,1800.0,2700.0,17_16,135.0
165,1800.0,2700.0,18_19,198.0
166,1800.0,2700.0,19_13,60.0
167,1800.0,2700.0,19_18,157.0
168,1800.0,2700.0,19_20,132.0
169,1800.0,2700.0,19_25,135.0
170,1800.0,2700.0,1_7,130.0
171,1800.0,2700.0,20_14,237.0
172,1800.0,2700.0,20_19,78.0
173,1800.0,2700.0,20_21,11.0
174,1800.0,2700.0,20_26,92.0
175,1800.0,2700.0,21_15,9.0
176,1800.0,2700.0,21_20,13.0
177,1800.0,2700.0,21_22,102.0
178,1800.0,2700.0,21_27,115.0
179,1800.0,2700.0,22_16,186.0
180,1800.0,2700.0,22_21,66.0
181,1800.0,2700.0,22_23,160.0
182,1800.0,2700.0,22_28,42.0
183,1800.0,2700.0,23_22,160.0
184,1800.0,2700.0,25_19,158.0
185,1800.0,2700.0,25_26,107.0
186,1800.0,2700.0,25_31,117.0
187,1800.0,2700.0,26_20,113.0
188,1800.0,2700.0,26_25,96.0
189,1800.0,2700.0,26_27,125.0
190,1800.0,2700.0,26_32,140.0
191,1800.0,2700.0,27_21,171.0
192,1800.0,2700.0,27_26,154.0
193,1800.0,2700.0,27_28,87.0
194,1800.0,2700.0,27_33,140.0
195,1800.0,2700.0,28_22,39.0
196,1800.0,2700.0,28_27,108.0
197,1800.0,2700.0,28_34,129.0
198,1800.0,2700.0,2_8,210.0
199,1800.0,2700.0,31_25,149.0
200,1800.0,2700.0,32_26,100.0
201,1800.0,2700.0,33_27,220.0
202,1800.0,2700.0,34_28,99.0
203,1800.0,2700.0,3_9,58.0
204,1800.0,2700.0,4_10,187.0
205,1800.0,2700.0,7_1,79.0
206,1800.0,2700.0,7_13,48.0
207,1800.0,2700.0,7_8,47.0
208,1800.0,2700.0,8_14,113.0
209,1800.0,2700.0,8_2,39.0
210,1800.0,2700.0,8_7,44.0
211,1800.0,2700.0,8_9,258.0
212,1800.0,2700.0,9_10,125.0
213,1800.0,2700.0,9_15,110.0
214,1800.0,2700.0,9_3,62.0
215,1800.0,2700.0,9_8,72.0
216,2700.0,3600.0,10_16,40.0
217,2700.0,3600.0,10_4,100.0
218,2700.0,3600.0,10_9,50.0
219,2700.0,3600.0,12_13,168.0
220,2700.0,3600.0,13_12,103.0
221,2700.0,3600.0,13_14,45.0
222,2700.0,3600.0,13_19,19.0
223,2700.0,3600.0,13_7,56.0
224,2700.0,3600.0,14_13,73.0
225,2700.0,3600.0,14_15,33.0
226,2700.0,3600.0,14_20,131.0
227,2700.0,3600.0,14_8,122.0
228,2700.0,3600.0,15_14,13.0
229,2700.0,3600.0,15_16,137.0
230,2700.0,3600.0,15_21,75.0
231,2700.0,3600.0,15_9,23.0
232,2700.0,3600.0,16_17,95.0
233,2700.0,3600.0,16_22,85.0
234,2700.0,3600.0,18_19,86.0
235,2700.0,3600.0,19_13,39.0
236,2700.0,3600.0,19_18,106.0
237,2700.0,3600.0,19_20,130.0
238,2700.0,3600.0,19_25,71.0
239,2700.0,3600.0,1_7,125.0
240,2700.0,3600.0,20_14,240.0
241,2700.0,3600.0,20_19,61.0
242,2700.0,3600.0,20_21,17.0
243,2700.0,3600.0,20_26,78.0
244,2700.0,3600.0,21_15,22.0
245,2700.0,3600.0,21_20,7.0
246,2700.0,3600.0,21_22,89.0
247,2700.0,3600.0,21_27,106.0
248,2700.0,3600.0,22_16,60.0
249,2700.0,3600.0,22_21,34.0
250,2700.0,3600.0,22_23,85.0
251,2700.0,3600.0,22_28,14.0
252,2700.0,3600.0,23_22,118.0
253,2700.0,3600.0,25_19,173.0
254,2700.0,3600.0,25_26,106.0
255,2700.0,3600.0,25_31,83.0
256,2700.0,3600.0,26_20,138.0
257,2700.0,3600.0,26_25,90.0
258,2700.0,3600.0,26_27,132.0
259,2700.0,3600.0,26_32,140.0
260,2700.0,3600.0,27_21,148.0
261,2700.0,3600.0,27_26,158.0
262,2700.0,3600.0,27_28,116.0
263,2700.0,3600.0,27_33,119.0
264,2700.0,3600.0,28_22,51.0
265,2700.0,3600.0,28_27,119.0
266,2700.0,3600.0,28_34,129.0
267,2700.0,3600.0,2_8,153.0
268,2700.0,3600.0,31_25,196.0
269,2700.0,3600.0,32_26,116.0
270,2700.0,3600.0,33_27,216.0
271,2700.0,3600.0,34_28,155.0
272,2700.0,3600.0,3_9,126.0
273,2700.0,3600.0,4_10,78.0
274,2700.0,3600.0,7_1,52.0
275,2700.0,3600.0,7_13,57.0
276,2700.0,3600.0,7_8,104.0
277,2700.0,3600.0,8_14,94.0
278,2700.0,3600.0,8_2,85.0
279,2700.0,3600.0,8_7,51.0
280,2700.0,3600.0,8_9,275.0
281,2700.0,3600.0,9_10,115.0
282,2700.0,3600.0,9_15,123.0
283,2700.0,3600.0,9_3,97.0
284,2700.0,3600.0,9_8,116.0
