,begin,end,link,counts
0,0.0,900.0,10_16,75.0
1,0.0,900.0,10_4,85.0
2,0.0,900.0,10_9,95.0
3,0.0,900.0,12_13,149.0
4,0.0,900.0,13_12,84.0
5,0.0,900.0,13_14,65.0
6,0.0,900.0,13_19,45.0
7,0.0,900.0,13_7,78.0
8,0.0,900.0,14_13,60.0
9,0.0,900.0,14_15,59.0
10,0.0,900.0,14_20,139.0
11,0.0,900.0,14_8,6.0
12,0.0,900.0,15_14,26.0
13,0.0,900.0,15_16,69.0
14,0.0,900.0,15_21,61.0
15,0.0,900.0,15_9,25.0
16,0.0,900.0,16_10,70.0
17,0.0,900.0,16_15,81.0
18,0.0,900.0,16_17,117.0
19,0.0,900.0,16_22,109.0
20,0.0,900.0,17_16,186.0
21,0.0,900.0,18_19,136.0
22,0.0,900.0,19_13,29.0
23,0.0,900.0,19_18,93.0
24,0.0,900.0,19_20,88.0
25,0.0,900.0,19_25,106.0
26,0.0,900.0,1_7,150.0
27,0.0,900.0,20_14,190.0
28,0.0,900.0,20_19,73.0
29,0.0,900.0,20_21,6.0
30,0.0,900.0,20_26,42.0
31,0.0,900.0,21_15,71.0
32,0.0,900.0,21_20,3.0
33,0.0,900.0,21_22,71.0
34,0.0,900.0,21_27,103.0
35,0.0,900.0,22_16,130.0
36,0.0,900.0,22_21,65.0
37,0.0,900.0,22_23,96.0
38,0.0,900.0,22_28,46.0
39,0.0,900.0,23_22,169.0
40,0.0,900.0,25_19,91.0
41,0.0,900.0,25_26,79.0
42,0.0,900.0,25_31,103.0
43,0.0,900.0,26_20,126.0
44,0.0,900.0,26_25,51.0
45,0.0,900.0,26_27,113.0
46,0.0,900.0,26_32,78.0
47,0.0,900.0,27_21,158.0
48,0.0,900.0,27_26,95.0
49,0.0,900.0,27_28,62.0
50,0.0,900.0,27_33,115.0
51,0.0,900.0,28_22,25.0
52,0.0,900.0,28_27,101.0
53,0.0,900.0,28_34,108.0
54,0.0,900.0,2_8,186.0
55,0.0,900.0,31_25,134.0
56,0.0,900.0,32_26,196.0
57,0.0,900.0,33_27,157.0
58,0.0,900.0,34_28,165.0
59,0.0,900.0,3_9,169.0
60,0.0,900.0,4_10,144.0
61,0.0,900.0,7_1,94.0
62,0.0,900.0,7_13,63.0
63,0.0,900.0,7_8,97.0
64,0.0,900.0,8_14,96.0
65,0.0,900.0,8_2,45.0
66,0.0,900.0,8_7,90.0
67,0.0,900.0,8_9,198.0
68,0.0,900.0,9_10,79.0
69,0.0,900.0,9_15,118.0
70,0.0,900.0,9_3,73.0
71,0.0,900.0,9_8,185.0
72,900.0,1800.0,10_16,89.0
73,900.0,1800.0,10_4,126.0
74,900.0,1800.0,10_9,90.0
75,900.0,1800.0,12_13,116.0
76,900.0,1800.0,13_12,115.0
77,900.0,1800.0,13_14,49.0
78,900.0,1800.0,13_19,66.0
79,900.0,1800.0,13_7,75.0
80,900.0,1800.0,14_13,58.0
81,900.0,1800.0,14_15,56.0
82,900.0,1800.0,14_20,176.0
83,900.0,1800.0,14_8,108.0
84,900.0,1800.0,15_14,15.0
85,900.0,1800.0,15_16,93.0
86,900.0,1800.0,15_21,84.0
87,900.0,1800.0,15_9,7.0
88,900.0,1800.0,16_10,101.0
89,900.0,1800.0,16_15,188.0
90,900.0,1800.0,16_17,129.0
91,900.0,1800.0,16_22,100.0
92,900.0,1800.0,17_16,147.0
93,900.0,1800.0,18_19,143.0
94,900.0,1800.0,19_13,52.0
95,900.0,1800.0,19_18,124.0
96,900.0,1800.0,19_20,104.0
97,900.0,1800.0,19_25,156.0
98,900.0,1800.0,1_7,172.0
99,900.0,1800.0,20_14,184.0
100,900.0,1800.0,20_19,102.0
101,900.0,1800.0,20_21,8.0
102,900.0,1800.0,20_26,74.0
103,900.0,1800.0,21_15,29.0
104,900.0,1800.0,21_20,7.0
105,900.0,1800.0,21_22,76.0
106,900.0,1800.0,21_27,148.0
107,900.0,1800.0,22_16,132.0
108,900.0,1800.0,22_21,73.0
109,900.0,1800.0,22_23,126.0
110,900.0,1800.0,22_28,32.0
111,900.0,1800.0,23_22,136.0
112,900.0,1800.0,25_19,133.0
113,900.0,1800.0,25_26,78.0
114,900.0,1800.0,25_31,160.0
115,900.0,1800.0,26_20,113.0
116,900.0,1800.0,26_25,104.0
117,900.0,1800.0,26_27,117.0
118,900.0,1800.0,26_32,118.0
119,900.0,1800.0,27_21,134.0
120,900.0,1800.0,27_26,129.0
121,900.0,1800.0,27_28,82.0
122,900.0,1800.0,27_33,152.0
123,900.0,1800.0,28_22,35.0
124,900.0,1800.0,28_27,91.0
125,900.0,1800.0,28_34,113.0
126,900.0,1800.0,2_8,191.0
127,900.0,1800.0,31_25,115.0
128,900.0,1800.0,32_26,168.0
129,900.0,1800.0,33_27,132.0
130,900.0,1800.0,34_28,167.0
131,900.0,1800.0,3_9,152.0
132,900.0,1800.0,4_10,162.0
133,900.0,1800.0,7_1,97.0
134,900.0,1800.0,7_13,95.0
135,900.0,1800.0,7_8,86.0
136,900.0,1800.0,8_14,144.0
137,900.0,1800.0,8_2,71.0
138,900.0,1800.0,8_7,100.0
139,900.0,1800.0,8_9,229.0
140,900.0,1800.0,9_10,100.0
141,900.0,1800.0,9_15,123.0
142,900.0,1800.0,9_3,76.0
143,900.0,1800.0,9_8,138.0
144,1800.0,2700.0,10_16,84.0
145,1800.0,2700.0,10_4,101.0
146,1800.0,2700.0,10_9,60.0
147,1800.0,2700.0,12_13,239.0
148,1800.0,2700.0,13_12,131.0
149,1800.0,2700.0,13_14,85.0
150,1800.0,2700.0,13_19,79.0
151,1800.0,2700.0,13_7,108.0
152,1800.0,2700.0,14_13,58.0
153,1800.0,2700.0,14_15,32.0
154,1800.0,2700.0,14_20,155.0
155,1800.0,2700.0,14_8,92.0
156,1800.0,2700.0,15_14,13.0
157,1800.0,2700.0,15_16,112.0
158,1800.0,2700.0,15_21,64.0
159,1800.0,2700.0,15_9,10.0
160,1800.0,2700.0,16_10,53.0
161,1800.0,2700.0,16_15,28.0
162,1800.0,2700.0,16_17,112.0
163,1800.0,2700.0,16_22,119.0
164,1800.0,2700.0,17_16,121.0
165,1800.0,2700.0,18_19,110.0
166,1800.0,2700.0,19_13,42.0
167,1800.0,2700.0,19_18,126.0
168,1800.0,2700.0,19_20,112.0
169,1800.0,2700.0,19_25,117.0
170,1800.0,2700.0,1_7,119.0
171,1800.0,2700.0,20_14,215.0
172,1800.0,2700.0,20_19,87.0
173,1800.0,2700.0,20_21,13.0
174,1800.0,2700.0,20_26,92.0
175,1800.0,2700.0,21_15,10.0
176,1800.0,2700.0,21_20,17.0
177,1800.0,2700.0,21_22,74.0
178,1800.0,2700.0,21_27,125.0
179,1800.0,2700.0,22_16,143.0
180,1800.0,2700.0,22_21,72.0
181,1800.0,2700.0,22_23,147.0
182,1800.0,2700.0,22_28,36.0
183,1800.0,2700.0,23_22,148.0
184,1800.0,2700.0,25_19,111.0
185,1800.0,2700.0,25_26,79.0
186,1800.0,2700.0,25_31,154.0
187,1800.0,2700.0,26_20,91.0
188,1800.0,2700.0,26_25,82.0
189,1800.0,2700.0,26_27,102.0
190,1800.0,2700.0,26_32,135.0
191,1800.0,2700.0,27_21,157.0
192,1800.0,2700.0,27_26,144.0
193,1800.0,2700.0,27_28,76.0
194,1800.0,2700.0,27_33,143.0
195,1800.0,2700.0,28_22,51.0
196,1800.0,2700.0,28_27,114.0
197,1800.0,2700.0,28_34,111.0
198,1800.0,2700.0,2_8,185.0
199,1800.0,2700.0,31_25,140.0
200,1800.0,2700.0,32_26,88.0
201,1800.0,2700.0,33_27,198.0
202,1800.0,2700.0,34_28,172.0
203,1800.0,2700.0,3_9,124.0
204,1800.0,2700.0,4_10,146.0
205,1800.0,2700.0,7_1,99.0
206,1800.0,2700.0,7_13,85.0
207,1800.0,2700.0,7_8,97.0
208,1800.0,2700.0,8_14,97.0
209,1800.0,2700.0,8_2,82.0
210,1800.0,2700.0,8_7,85.0
211,1800.0,2700.0,8_9,249.0
212,1800.0,2700.0,9_10,107.0
213,1800.0,2700.0,9_15,99.0
214,1800.0,2700.0,9_3,107.0
215,1800.0,2700.0,9_8,140.0
216,2700.0,3600.0,10_16,122.0
217,2700.0,3600.0,10_4,68.0
218,2700.0,3600.0,10_9,74.0
219,2700.0,3600.0,12_13,143.0
220,2700.0,3600.0,13_12,122.0
221,2700.0,3600.0,13_14,38.0
222,2700.0,3600.0,13_19,41.0
223,2700.0,3600.0,13_7,39.0
224,2700.0,3600.0,14_13,45.0
225,2700.0,3600.0,14_15,17.0
226,2700.0,3600.0,14_20,127.0
227,2700.0,3600.0,14_8,86.0
228,2700.0,3600.0,15_14,11.0
229,2700.0,3600.0,15_16,48.0
230,2700.0,3600.0,15_21,50.0
231,2700.0,3600.0,15_9,15.0
232,2700.0,3600.0,16_17,80.0
233,2700.0,3600.0,16_22,95.0
234,2700.0,3600.0,18_19,201.0
235,2700.0,3600.0,19_13,51.0
236,2700.0,3600.0,19_18,107.0
237,2700.0,3600.0,19_20,186.0
238,2700.0,3600.0,19_25,131.0
239,2700.0,3600.0,1_7,112.0
240,2700.0,3600.0,20_14,212.0
241,2700.0,3600.0,20_19,81.0
242,2700.0,3600.0,20_21,15.0
243,2700.0,3600.0,20_26,67.0
244,2700.0,3600.0,21_15,15.0
245,2700.0,3600.0,21_20,10.0
246,2700.0,3600.0,21_22,100.0
247,2700.0,3600.0,21_27,99.0
248,2700.0,3600.0,22_16,57.0
249,2700.0,3600.0,22_21,54.0
250,2700.0,3600.0,22_23,108.0
251,2700.0,3600.0,22_28,29.0
252,2700.0,3600.0,23_22,145.0
253,2700.0,3600.0,25_19,162.0
254,2700.0,3600.0,25_26,107.0
255,2700.0,3600.0,25_31,144.0
256,2700.0,3600.0,26_20,56.0
257,2700.0,3600.0,26_25,104.0
258,2700.0,3600.0,26_27,144.0
259,2700.0,3600.0,26_32,107.0
260,2700.0,3600.0,27_21,156.0
261,2700.0,3600.0,27_26,156.0
262,2700.0,3600.0,27_28,101.0
263,2700.0,3600.0,27_33,120.0
264,2700.0,3600.0,28_22,43.0
265,2700.0,3600.0,28_27,118.0
266,2700.0,3600.0,28_34,130.0
267,2700.0,3600.0,2_8,211.0
268,2700.0,3600.0,31_25,187.0
269,2700.0,3600.0,32_26,158.0
270,2700.0,3600.0,33_27,172.0
271,2700.0,3600.0,34_28,158.0
272,2700.0,3600.0,3_9,195.0
273,2700.0,3600.0,4_10,184.0
274,2700.0,3600.0,7_1,75.0
275,2700.0,3600.0,7_13,73.0
276,2700.0,3600.0,7_8,33.0
277,2700.0,3600.0,8_14,148.0
278,2700.0,3600.0,8_2,86.0
279,2700.0,3600.0,8_7,81.0
280,2700.0,3600.0,8_9,196.0
281,2700.0,3600.0,9_10,118.0
282,2700.0,3600.0,9_15,119.0
283,2700.0,3600.0,9_3,73.0
284,2700.0,3600.0,9_8,187.0
