,begin,end,link,counts
0,0.0,900.0,10_16,89.0
1,0.0,900.0,10_4,108.0
2,0.0,900.0,10_9,113.0
3,0.0,900.0,12_13,157.0
4,0.0,900.0,13_12,73.0
5,0.0,900.0,13_14,81.0
6,0.0,900.0,13_19,70.0
7,0.0,900.0,13_7,86.0
8,0.0,900.0,14_13,26.0
9,0.0,900.0,14_15,42.0
10,0.0,900.0,14_20,159.0
11,0.0,900.0,14_8,48.0
12,0.0,900.0,15_14,22.0
13,0.0,900.0,15_16,38.0
14,0.0,900.0,15_21,53.0
15,0.0,900.0,15_9,43.0
16,0.0,900.0,16_10,67.0
17,0.0,900.0,16_15,96.0
18,0.0,900.0,16_17,90.0
19,0.0,900.0,16_22,100.0
20,0.0,900.0,17_16,120.0
21,0.0,900.0,18_19,141.0
22,0.0,900.0,19_13,52.0
23,0.0,900.0,19_18,86.0
24,0.0,900.0,19_20,118.0
25,0.0,900.0,19_25,113.0
26,0.0,900.0,1_7,143.0
27,0.0,900.0,20_14,193.0
28,0.0,900.0,20_19,68.0
29,0.0,900.0,20_21,11.0
30,0.0,900.0,20_26,72.0
31,0.0,900.0,21_15,76.0
32,0.0,900.0,21_20,7.0
33,0.0,900.0,21_22,68.0
34,0.0,900.0,21_27,99.0
35,0.0,900.0,22_16,149.0
36,0.0,900.0,22_21,71.0
37,0.0,900.0,22_23,117.0
38,0.0,900.0,22_28,30.0
39,0.0,900.0,23_22,196.0
40,0.0,900.0,25_19,130.0
41,0.0,900.0,25_26,113.0
42,0.0,900.0,25_31,108.0
43,0.0,900.0,26_20,107.0
44,0.0,900.0,26_25,63.0
45,0.0,900.0,26_27,124.0
46,0.0,900.0,26_32,109.0
47,0.0,900.0,27_21,156.0
48,0.0,900.0,27_26,92.0
49,0.0,900.0,27_28,62.0
50,0.0,900.0,27_33,104.0
51,0.0,900.0,28_22,31.0
52,0.0,900.0,28_27,112.0
53,0.0,900.0,28_34,91.0
54,0.0,900.0,2_8,194.0
55,0.0,900.0,31_25,204.0
56,0.0,900.0,32_26,187.0
57,0.0,900.0,33_27,134.0
58,0.0,900.0,34_28,172.0
59,0.0,900.0,3_9,160.0
60,0.0,900.0,4_10,182.0
61,0.0,900.0,7_1,110.0
62,0.0,900.0,7_13,104.0
63,0.0,900.0,7_8,84.0
64,0.0,900.0,8_14,98.0
65,0.0,900.0,8_2,68.0
66,0.0,900.0,8_7,87.0
67,0.0,900.0,8_9,214.0
68,0.0,900.0,9_10,104.0
69,0.0,900.0,9_15,117.0
70,0.0,900.0,9_3,90.0
71,0.0,900.0,9_8,169.0
72,900.0,1800.0,10_16,66.0
73,900.0,1800.0,10_4,140.0
74,900.0,1800.0,10_9,98.0
75,900.0,1800.0,12_13,182.0
76,900.0,1800.0,13_12,130.0
77,900.0,1800.0,13_14,68.0
78,900.0,1800.0,13_19,60.0
79,900.0,1800.0,13_7,99.0
80,900.0,1800.0,14_13,38.0
81,900.0,1800.0,14_15,75.0
82,900.0,1800.0,14_20,191.0
83,900.0,1800.0,14_8,108.0
84,900.0,1800.0,15_14,13.0
85,900.0,1800.0,15_16,72.0
86,900.0,1800.0,15_21,68.0
87,900.0,1800.0,15_9,23.0
88,900.0,1800.0,16_10,105.0
89,900.0,1800.0,16_15,161.0
90,900.0,1800.0,16_17,131.0
91,900.0,1800.0,16_22,92.0
92,900.0,1800.0,17_16,173.0
93,900.0,1800.0,18_19,181.0
94,900.0,1800.0,19_13,55.0
95,900.0,1800.0,19_18,138.0
96,900.0,1800.0,19_20,134.0
97,900.0,1800.0,19_25,173.0
98,900.0,1800.0,1_7,181.0
99,900.0,1800.0,20_14,215.0
100,900.0,1800.0,20_19,108.0
101,900.0,1800.0,20_21,15.0
102,900.0,1800.0,20_26,99.0
103,900.0,1800.0,21_15,41.0
104,900.0,1800.0,21_20,16.0
105,900.0,1800.0,21_22,88.0
106,900.0,1800.0,21_27,138.0
107,900.0,1800.0,22_16,167.0
108,900.0,1800.0,22_21,87.0
109,900.0,1800.0,22_23,123.0
110,900.0,1800.0,22_28,21.0
111,900.0,1800.0,23_22,159.0
112,900.0,1800.0,25_19,147.0
113,900.0,1800.0,25_26,145.0
114,900.0,1800.0,25_31,158.0
115,900.0,1800.0,26_20,95.0
116,900.0,1800.0,26_25,81.0
117,900.0,1800.0,26_27,169.0
118,900.0,1800.0,26_32,135.0
119,900.0,1800.0,27_21,155.0
120,900.0,1800.0,27_26,93.0
121,900.0,1800.0,27_28,127.0
122,900.0,1800.0,27_33,133.0
123,900.0,1800.0,28_22,56.0
124,900.0,1800.0,28_27,87.0
125,900.0,1800.0,28_34,146.0
126,900.0,1800.0,2_8,183.0
127,900.0,1800.0,31_25,201.0
128,900.0,1800.0,32_26,131.0
129,900.0,1800.0,33_27,168.0
130,900.0,1800.0,34_28,206.0
131,900.0,1800.0,3_9,130.0
132,900.0,1800.0,4_10,123.0
133,900.0,1800.0,7_1,99.0
134,900.0,1800.0,7_13,117.0
135,900.0,1800.0,7_8,45.0
136,900.0,1800.0,8_14,122.0
137,900.0,1800.0,8_2,96.0
138,900.0,1800.0,8_7,88.0
139,900.0,1800.0,8_9,198.0
140,900.0,1800.0,9_10,95.0
141,900.0,1800.0,9_15,115.0
142,900.0,1800.0,9_3,67.0
143,900.0,1800.0,9_8,177.0
144,1800.0,2700.0,10_16,63.0
145,1800.0,2700.0,10_4,99.0
146,1800.0,2700.0,10_9,52.0
147,1800.0,2700.0,12_13,154.0
148,1800.0,2700.0,13_12,131.0
149,1800.0,2700.0,13_14,77.0
150,1800.0,2700.0,13_19,62.0
151,1800.0,2700.0,13_7,92.0
152,1800.0,2700.0,14_13,51.0
153,1800.0,2700.0,14_15,74.0
154,1800.0,2700.0,14_20,163.0
155,1800.0,2700.0,14_8,147.0
156,1800.0,2700.0,15_14,14.0
157,1800.0,2700.0,15_16,214.0
158,1800.0,2700.0,15_21,78.0
159,1800.0,2700.0,15_9,23.0
160,1800.0,2700.0,16_10,52.0
161,1800.0,2700.0,16_15,52.0
162,1800.0,2700.0,16_17,212.0
163,1800.0,2700.0,16_22,95.0
164,1800.0,2700.0,17_16,119.0
165,1800.0,2700.0,18_19,132.0
166,1800.0,2700.0,19_13,67.0
167,1800.0,2700.0,19_18,161.0
168,1800.0,2700.0,19_20,142.0
169,1800.0,2700.0,19_25,119.0
170,1800.0,2700.0,1_7,172.0
171,1800.0,2700.0,20_14,240.0
172,1800.0,2700.0,20_19,99.0
173,1800.0,2700.0,20_21,10.0
174,1800.0,2700.0,20_26,85.0
175,1800.0,2700.0,21_15,23.0
176,1800.0,2700.0,21_20,14.0
177,1800.0,2700.0,21_22,73.0
178,1800.0,2700.0,21_27,133.0
179,1800.0,2700.0,22_16,134.0
180,1800.0,2700.0,22_21,64.0
181,1800.0,2700.0,22_23,112.0
182,1800.0,2700.0,22_28,36.0
183,1800.0,2700.0,23_22,141.0
184,1800.0,2700.0,25_19,191.0
185,1800.0,2700.0,25_26,120.0
186,1800.0,2700.0,25_31,140.0
187,1800.0,2700.0,26_20,110.0
188,1800.0,2700.0,26_25,119.0
189,1800.0,2700.0,26_27,135.0
190,1800.0,2700.0,26_32,124.0
191,1800.0,2700.0,27_21,154.0
192,1800.0,2700.0,27_26,131.0
193,1800.0,2700.0,27_28,126.0
194,1800.0,2700.0,27_33,123.0
195,1800.0,2700.0,28_22,28.0
196,1800.0,2700.0,28_27,94.0
197,1800.0,2700.0,28_34,163.0
198,1800.0,2700.0,2_8,221.0
199,1800.0,2700.0,31_25,211.0
200,1800.0,2700.0,32_26,142.0
201,1800.0,2700.0,33_27,189.0
202,1800.0,2700.0,34_28,132.0
203,1800.0,2700.0,3_9,137.0
204,1800.0,2700.0,4_10,182.0
205,1800.0,2700.0,7_1,121.0
