,begin,end,link,counts
0,0.0,900.0,10_16,52.0
1,0.0,900.0,10_4,99.0
2,0.0,900.0,10_9,80.0
3,0.0,900.0,12_13,102.0
4,0.0,900.0,13_12,98.0
5,0.0,900.0,13_14,61.0
6,0.0,900.0,13_19,32.0
7,0.0,900.0,13_7,56.0
8,0.0,900.0,14_13,34.0
9,0.0,900.0,14_15,42.0
10,0.0,900.0,14_20,135.0
11,0.0,900.0,14_8,38.0
12,0.0,900.0,15_14,20.0
13,0.0,900.0,15_16,58.0
14,0.0,900.0,15_21,58.0
15,0.0,900.0,15_9,23.0
16,0.0,900.0,16_10,49.0
17,0.0,900.0,16_15,106.0
18,0.0,900.0,16_17,77.0
19,0.0,900.0,16_22,133.0
20,0.0,900.0,17_16,149.0
21,0.0,900.0,18_19,167.0
22,0.0,900.0,19_13,40.0
23,0.0,900.0,19_18,77.0
24,0.0,900.0,19_20,130.0
25,0.0,900.0,19_25,93.0
26,0.0,900.0,1_7,165.0
27,0.0,900.0,20_14,180.0
28,0.0,900.0,20_19,58.0
29,0.0,900.0,20_21,10.0
30,0.0,900.0,20_26,68.0
31,0.0,900.0,21_15,63.0
32,0.0,900.0,21_20,8.0
33,0.0,900.0,21_22,54.0
34,0.0,900.0,21_27,125.0
35,0.0,900.0,22_16,149.0
36,0.0,900.0,22_21,111.0
37,0.0,900.0,22_23,112.0
38,0.0,900.0,22_28,43.0
39,0.0,900.0,23_22,222.0
40,0.0,900.0,25_19,116.0
41,0.0,900.0,25_26,52.0
42,0.0,900.0,25_31,117.0
43,0.0,900.0,26_20,80.0
44,0.0,900.0,26_25,72.0
45,0.0,900.0,26_27,82.0
46,0.0,900.0,26_32,118.0
47,0.0,900.0,27_21,123.0
48,0.0,900.0,27_26,138.0
49,0.0,900.0,27_28,59.0
50,0.0,900.0,27_33,115.0
51,0.0,900.0,28_22,44.0
52,0.0,900.0,28_27,117.0
53,0.0,900.0,28_34,101.0
54,0.0,900.0,2_8,200.0
55,0.0,900.0,31_25,137.0
56,0.0,900.0,32_26,177.0
57,0.0,900.0,33_27,174.0
58,0.0,900.0,34_28,204.0
59,0.0,900.0,3_9,130.0
60,0.0,900.0,4_10,142.0
61,0.0,900.0,7_1,62.0
62,0.0,900.0,7_13,87.0
63,0.0,900.0,7_8,101.0
64,0.0,900.0,8_14,89.0
65,0.0,900.0,8_2,50.0
66,0.0,900.0,8_7,63.0
67,0.0,900.0,8_9,224.0
68,0.0,900.0,9_10,84.0
69,0.0,900.0,9_15,116.0
70,0.0,900.0,9_3,83.0
71,0.0,900.0,9_8,130.0
72,900.0,1800.0,10_16,103.0
73,900.0,1800.0,10_4,130.0
74,900.0,1800.0,10_9,103.0
75,900.0,1800.0,12_13,140.0
76,900.0,1800.0,13_12,141.0
77,900.0,1800.0,13_14,57.0
78,900.0,1800.0,13_19,43.0
79,900.0,1800.0,13_7,103.0
80,900.0,1800.0,14_13,51.0
81,900.0,1800.0,14_15,61.0
82,900.0,1800.0,14_20,154.0
83,900.0,1800.0,14_8,75.0
84,900.0,1800.0,15_14,17.0
85,900.0,1800.0,15_16,92.0
86,900.0,1800.0,15_21,59.0
87,900.0,1800.0,15_9,62.0
88,900.0,1800.0,16_10,83.0
89,900.0,1800.0,16_15,130.0
90,900.0,1800.0,16_17,113.0
91,900.0,1800.0,16_22,186.0
92,900.0,1800.0,17_16,208.0
93,900.0,1800.0,18_19,150.0
94,900.0,1800.0,19_13,56.0
95,900.0,1800.0,19_18,99.0
96,900.0,1800.0,19_20,139.0
97,900.0,1800.0,19_25,119.0
98,900.0,1800.0,1_7,197.0
99,900.0,1800.0,20_14,242.0
