,begin,end,link,counts
0,0.0,900.0,10_16,96.0
1,0.0,900.0,10_4,61.0
2,0.0,900.0,10_9,132.0
3,0.0,900.0,12_13,144.0
4,0.0,900.0,13_12,99.0
5,0.0,900.0,13_14,63.0
6,0.0,900.0,13_19,37.0
7,0.0,900.0,13_7,102.0
8,0.0,900.0,14_13,38.0
9,0.0,900.0,14_15,27.0
10,0.0,900.0,14_20,149.0
11,0.0,900.0,14_8,25.0
12,0.0,900.0,15_14,25.0
13,0.0,900.0,15_16,50.0
14,0.0,900.0,15_21,49.0
15,0.0,900.0,15_9,24.0
16,0.0,900.0,16_10,85.0
17,0.0,900.0,16_15,106.0
18,0.0,900.0,16_17,88.0
19,0.0,900.0,16_22,103.0
20,0.0,900.0,17_16,192.0
21,0.0,900.0,18_19,236.0
22,0.0,900.0,19_13,60.0
23,0.0,900.0,19_18,101.0
24,0.0,900.0,19_20,134.0
25,0.0,900.0,19_25,120.0
26,0.0,900.0,1_7,142.0
27,0.0,900.0,20_14,168.0
28,0.0,900.0,20_19,63.0
29,0.0,900.0,20_21,17.0
30,0.0,900.0,20_26,60.0
31,0.0,900.0,21_15,48.0
32,0.0,900.0,21_20,5.0
33,0.0,900.0,21_22,69.0
34,0.0,900.0,21_27,108.0
35,0.0,900.0,22_16,110.0
36,0.0,900.0,22_21,85.0
37,0.0,900.0,22_23,114.0
38,0.0,900.0,22_28,32.0
39,0.0,900.0,23_22,165.0
40,0.0,900.0,25_19,120.0
41,0.0,900.0,25_26,101.0
42,0.0,900.0,25_31,95.0
43,0.0,900.0,26_20,72.0
44,0.0,900.0,26_25,86.0
45,0.0,900.0,26_27,94.0
46,0.0,900.0,26_32,92.0
47,0.0,900.0,27_21,119.0
48,0.0,900.0,27_26,101.0
49,0.0,900.0,27_28,58.0
50,0.0,900.0,27_33,107.0
51,0.0,900.0,28_22,31.0
52,0.0,900.0,28_27,59.0
53,0.0,900.0,28_34,90.0
54,0.0,900.0,2_8,200.0
55,0.0,900.0,31_25,136.0
56,0.0,900.0,32_26,123.0
57,0.0,900.0,33_27,192.0
58,0.0,900.0,34_28,121.0
59,0.0,900.0,3_9,135.0
60,0.0,900.0,4_10,217.0
61,0.0,900.0,7_1,111.0
62,0.0,900.0,7_13,79.0
63,0.0,900.0,7_8,76.0
64,0.0,900.0,8_14,91.0
65,0.0,900.0,8_2,59.0
66,0.0,900.0,8_7,94.0
67,0.0,900.0,8_9,189.0
68,0.0,900.0,9_10,49.0
69,0.0,900.0,9_15,131.0
70,0.0,900.0,9_3,74.0
71,0.0,900.0,9_8,170.0
72,900.0,1800.0,10_16,78.0
73,900.0,1800.0,10_4,167.0
74,900.0,1800.0,10_9,28.0
75,900.0,1800.0,12_13,173.0
76,900.0,1800.0,13_12,95.0
77,900.0,1800.0,13_14,61.0
78,900.0,1800.0,13_19,68.0
79,900.0,1800.0,13_7,93.0
80,900.0,1800.0,14_13,51.0
81,900.0,1800.0,14_15,57.0
82,900.0,1800.0,14_20,151.0
83,900.0,1800.0,14_8,160.0
84,900.0,1800.0,15_14,29.0
85,900.0,1800.0,15_16,79.0
86,900.0,1800.0,15_21,39.0
87,900.0,1800.0,15_9,6.0
88,900.0,1800.0,16_10,89.0
89,900.0,1800.0,16_15,160.0
90,900.0,1800.0,16_17,111.0
91,900.0,1800.0,16_22,137.0
92,900.0,1800.0,17_16,132.0
93,900.0,1800.0,18_19,200.0
94,900.0,1800.0,19_13,73.0
95,900.0,1800.0,19_18,140.0
96,900.0,1800.0,19_20,139.0
97,900.0,1800.0,19_25,149.0
98,900.0,1800.0,1_7,185.0
99,900.0,1800.0,20_14,213.0
100,900.0,1800.0,20_19,87.0
101,900.0,1800.0,20_21,7.0
102,900.0,1800.0,20_26,83.0
103,900.0,1800.0,21_15,28.0
104,900.0,1800.0,21_20,3.0
105,900.0,1800.0,21_22,108.0
106,900.0,1800.0,21_27,130.0
107,900.0,1800.0,22_16,172.0
108,900.0,1800.0,22_21,95.0
109,900.0,1800.0,22_23,138.0
110,900.0,1800.0,22_28,54.0
111,900.0,1800.0,23_22,183.0
112,900.0,1800.0,25_19,145.0
113,900.0,1800.0,25_26,104.0
114,900.0,1800.0,25_31,153.0
115,900.0,1800.0,26_20,76.0
116,900.0,1800.0,26_25,101.0
117,900.0,1800.0,26_27,143.0
118,900.0,1800.0,26_32,115.0
119,900.0,1800.0,27_21,154.0
120,900.0,1800.0,27_26,141.0
121,900.0,1800.0,27_28,64.0
122,900.0,1800.0,27_33,165.0
123,900.0,1800.0,28_22,43.0
124,900.0,1800.0,28_27,73.0
125,900.0,1800.0,28_34,118.0
126,900.0,1800.0,2_8,170.0
127,900.0,1800.0,31_25,151.0
128,900.0,1800.0,32_26,162.0
129,900.0,1800.0,33_27,182.0
130,900.0,1800.0,34_28,196.0
131,900.0,1800.0,3_9,49.0
132,900.0,1800.0,4_10,175.0
133,900.0,1800.0,7_1,117.0
134,900.0,1800.0,7_13,93.0
135,900.0,1800.0,7_8,109.0
136,900.0,1800.0,8_14,84.0
137,900.0,1800.0,8_2,94.0
138,900.0,1800.0,8_7,53.0
139,900.0,1800.0,8_9,273.0
140,900.0,1800.0,9_10,106.0
141,900.0,1800.0,9_15,93.0
142,900.0,1800.0,9_3,93.0
143,900.0,1800.0,9_8,62.0
144,1800.0,2700.0,10_16,76.0
145,1800.0,2700.0,10_4,116.0
146,1800.0,2700.0,10_9,109.0
147,1800.0,2700.0,12_13,151.0
148,1800.0,2700.0,13_12,163.0
149,1800.0,2700.0,13_14,32.0
150,1800.0,2700.0,13_19,55.0
151,1800.0,2700.0,13_7,122.0
152,1800.0,2700.0,14_13,63.0
153,1800.0,2700.0,14_15,21.0
154,1800.0,2700.0,14_20,198.0
155,1800.0,2700.0,14_8,64.0
156,1800.0,2700.0,15_14,12.0
157,1800.0,2700.0,15_16,102.0
158,1800.0,2700.0,15_21,76.0
159,1800.0,2700.0,15_9,15.0
160,1800.0,2700.0,16_10,50.0
161,1800.0,2700.0,16_15,99.0
162,1800.0,2700.0,16_17,143.0
163,1800.0,2700.0,16_22,135.0
164,1800.0,2700.0,17_16,176.0
165,1800.0,2700.0,18_19,184.0
166,1800.0,2700.0,19_13,87.0
167,1800.0,2700.0,19_18,161.0
168,1800.0,2700.0,19_20,110.0
169,1800.0,2700.0,19_25,147.0
170,1800.0,2700.0,1_7,142.0
171,1800.0,2700.0,20_14,228.0
172,1800.0,2700.0,20_19,129.0
173,1800.0,2700.0,20_21,13.0
174,1800.0,2700.0,20_26,47.0
175,1800.0,2700.0,21_15,15.0
176,1800.0,2700.0,21_20,10.0
177,1800.0,2700.0,21_22,80.0
178,1800.0,2700.0,21_27,143.0
179,1800.0,2700.0,22_16,141.0
180,1800.0,2700.0,22_21,76.0
181,1800.0,2700.0,22_23,149.0
182,1800.0,2700.0,22_28,48.0
183,1800.0,2700.0,23_22,127.0
184,1800.0,2700.0,25_19,138.0
185,1800.0,2700.0,25_26,119.0
186,1800.0,2700.0,25_31,172.0
187,1800.0,2700.0,26_20,171.0
188,1800.0,2700.0,26_25,138.0
189,1800.0,2700.0,26_27,119.0
190,1800.0,2700.0,26_32,103.0
191,1800.0,2700.0,27_21,164.0
192,1800.0,2700.0,27_26,174.0
193,1800.0,2700.0,27_28,82.0
194,1800.0,2700.0,27_33,139.0
195,1800.0,2700.0,28_22,46.0
196,1800.0,2700.0,28_27,118.0
197,1800.0,2700.0,28_34,130.0
198,1800.0,2700.0,2_8,188.0
199,1800.0,2700.0,31_25,143.0
200,1800.0,2700.0,32_26,160.0
201,1800.0,2700.0,33_27,145.0
202,1800.0,2700.0,34_28,199.0
203,1800.0,2700.0,3_9,226.0
204,1800.0,2700.0,4_10,145.0
205,1800.0,2700.0,7_1,124.0
206,1800.0,2700.0,7_13,104.0
207,1800.0,2700.0,7_8,46.0
208,1800.0,2700.0,8_14,169.0
209,1800.0,2700.0,8_2,64.0
210,1800.0,2700.0,8_7,107.0
211,1800.0,2700.0,8_9,177.0
212,1800.0,2700.0,9_10,111.0
213,1800.0,2700.0,9_15,123.0
214,1800.0,2700.0,9_3,54.0
215,1800.0,2700.0,9_8,213.0
216,2700.0,3600.0,10_16,68.0
217,2700.0,3600.0,10_4,101.0
218,2700.0,3600.0,10_9,57.0
219,2700.0,3600.0,12_13,140.0
220,2700.0,3600.0,13_12,150.0
221,2700.0,3600.0,13_14,77.0
222,2700.0,3600.0,13_19,49.0
223,2700.0,3600.0,13_7,101.0
224,2700.0,3600.0,14_13,67.0
225,2700.0,3600.0,14_15,56.0
226,2700.0,3600.0,14_20,155.0
227,2700.0,3600.0,14_8,79.0
228,2700.0,3600.0,15_14,6.0
229,2700.0,3600.0,15_16,146.0
230,2700.0,3600.0,15_21,47.0
231,2700.0,3600.0,15_9,13.0
232,2700.0,3600.0,16_17,148.0
233,2700.0,3600.0,16_22,67.0
234,2700.0,3600.0,17_16,12.0
235,2700.0,3600.0,18_19,170.0
236,2700.0,3600.0,19_13,71.0
237,2700.0,3600.0,19_18,188.0
238,2700.0,3600.0,19_20,139.0
239,2700.0,3600.0,19_25,124.0
240,2700.0,3600.0,1_7,140.0
241,2700.0,3600.0,20_14,222.0
242,2700.0,3600.0,20_19,114.0
243,2700.0,3600.0,20_21,20.0
244,2700.0,3600.0,20_26,71.0
245,2700.0,3600.0,21_15,13.0
246,2700.0,3600.0,21_20,16.0
247,2700.0,3600.0,21_22,100.0
248,2700.0,3600.0,21_27,87.0
249,2700.0,3600.0,22_16,123.0
250,2700.0,3600.0,22_21,58.0
251,2700.0,3600.0,22_23,125.0
252,2700.0,3600.0,22_28,14.0
253,2700.0,3600.0,23_22,144.0
254,2700.0,3600.0,25_19,180.0
255,2700.0,3600.0,25_26,127.0
256,2700.0,3600.0,25_31,149.0
257,2700.0,3600.0,26_20,94.0
258,2700.0,3600.0,26_25,133.0
259,2700.0,3600.0,26_27,158.0
260,2700.0,3600.0,26_32,116.0
261,2700.0,3600.0,27_21,173.0
262,2700.0,3600.0,27_26,108.0
263,2700.0,3600.0,27_28,79.0
264,2700.0,3600.0,27_33,121.0
265,2700.0,3600.0,28_22,40.0
266,2700.0,3600.0,28_27,157.0
267,2700.0,3600.0,28_34,92.0
268,2700.0,3600.0,2_8,198.0
269,2700.0,3600.0,31_25,204.0
270,2700.0,3600.0,32_26,182.0
271,2700.0,3600.0,33_27,110.0
272,2700.0,3600.0,34_28,174.0
273,2700.0,3600.0,3_9,122.0
274,2700.0,3600.0,4_10,120.0
275,2700.0,3600.0,7_1,114.0
