,begin,end,link,counts
0,0.0,900.0,10_16,65.0
1,0.0,900.0,10_4,94.0
2,0.0,900.0,10_9,81.0
3,0.0,900.0,12_13,175.0
4,0.0,900.0,13_12,107.0
5,0.0,900.0,13_14,85.0
6,0.0,900.0,13_19,68.0
7,0.0,900.0,13_7,77.0
8,0.0,900.0,14_13,29.0
9,0.0,900.0,14_15,31.0
10,0.0,900.0,14_20,145.0
11,0.0,900.0,14_8,90.0
12,0.0,900.0,15_14,12.0
13,0.0,900.0,15_16,53.0
14,0.0,900.0,15_21,55.0
15,0.0,900.0,15_9,56.0
16,0.0,900.0,16_10,72.0
17,0.0,900.0,16_15,137.0
18,0.0,900.0,16_17,97.0
19,0.0,900.0,16_22,73.0
20,0.0,900.0,17_16,160.0
21,0.0,900.0,18_19,145.0
22,0.0,900.0,19_13,70.0
23,0.0,900.0,19_18,94.0
24,0.0,900.0,19_20,108.0
25,0.0,900.0,19_25,94.0
26,0.0,900.0,1_7,207.0
27,0.0,900.0,20_14,174.0
28,0.0,900.0,20_19,67.0
29,0.0,900.0,20_21,8.0
30,0.0,900.0,20_26,71.0
31,0.0,900.0,21_15,51.0
32,0.0,900.0,21_20,15.0
33,0.0,900.0,21_22,80.0
34,0.0,900.0,21_27,102.0
35,0.0,900.0,22_16,137.0
36,0.0,900.0,22_21,94.0
37,0.0,900.0,22_23,95.0
38,0.0,900.0,22_28,31.0
39,0.0,900.0,23_22,202.0
40,0.0,900.0,25_19,124.0
41,0.0,900.0,25_26,91.0
42,0.0,900.0,25_31,113.0
43,0.0,900.0,26_20,91.0
44,0.0,900.0,26_25,65.0
45,0.0,900.0,26_27,112.0
46,0.0,900.0,26_32,98.0
47,0.0,900.0,27_21,143.0
48,0.0,900.0,27_26,103.0
49,0.0,900.0,27_28,64.0
50,0.0,900.0,27_33,124.0
51,0.0,900.0,28_22,33.0
52,0.0,900.0,28_27,124.0
53,0.0,900.0,28_34,95.0
54,0.0,900.0,2_8,162.0
55,0.0,900.0,31_25,193.0
56,0.0,900.0,32_26,146.0
57,0.0,900.0,33_27,169.0
58,0.0,900.0,34_28,171.0
59,0.0,900.0,3_9,144.0
60,0.0,900.0,4_10,108.0
61,0.0,900.0,7_1,62.0
62,0.0,900.0,7_13,95.0
63,0.0,900.0,7_8,86.0
64,0.0,900.0,8_14,89.0
65,0.0,900.0,8_2,120.0
66,0.0,900.0,8_7,46.0
67,0.0,900.0,8_9,205.0
68,0.0,900.0,9_10,90.0
69,0.0,900.0,9_15,106.0
70,0.0,900.0,9_3,102.0
71,0.0,900.0,9_8,142.0
