,id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
2622,216.14,1602.0,,0.0,55.55,2.0,2006.0,,492.01,55.56,404.0,6336.15,0.0,0.0,0.0,0.48,0.0,vehroute_216.14 tripinfo_216.14,DEFAULT_VEHTYPE,1.0,
2623,290.0,1808.0,,0.0,55.57,8.0,2006.0,,489.02,55.57,198.0,3473.17,0.0,0.0,0.0,0.0,0.0,vehroute_290.0 tripinfo_290.0,DEFAULT_VEHTYPE,1.0,
2624,244.7,1271.0,,0.0,55.56,0.41,2007.0,,475.38,55.57,736.0,5205.87,9.26,0.0,0.0,412.37,0.0,vehroute_244.7 tripinfo_244.7,DEFAULT_VEHTYPE,1.0,
2625,381.0,1814.0,,0.0,55.56,14.0,2007.0,,489.65,55.55,193.0,3408.23,0.0,0.0,0.0,0.0,0.0,vehroute_381.0 tripinfo_381.0,DEFAULT_VEHTYPE,1.0,
2626,186.11,1483.0,,0.0,55.56,0.65,2009.0,,494.71,55.55,526.0,7763.17,0.0,0.0,0.0,19.91,0.0,vehroute_186.11 tripinfo_186.11,DEFAULT_VEHTYPE,1.0,
2627,330.0,1800.0,,0.0,55.55,0.0,2009.0,,490.96,55.57,209.0,3632.26,0.0,0.0,0.0,0.0,0.0,vehroute_330.0 tripinfo_330.0,DEFAULT_VEHTYPE,1.0,
2628,178.11,1519.0,,0.0,55.56,0.25,2010.0,,475.38,55.57,491.0,3512.31,0.0,0.0,0.0,290.04,0.0,vehroute_178.11 tripinfo_178.11,DEFAULT_VEHTYPE,1.0,
2629,132.9,1637.0,,0.0,55.57,0.64,2011.0,,429.88,55.57,374.0,2584.63,120.69,0.0,0.0,236.66,0.0,vehroute_132.9 tripinfo_132.9,DEFAULT_VEHTYPE,1.0,
2630,350.0,1818.0,,0.0,55.55,18.0,2011.0,,487.52,55.56,193.0,3408.23,0.0,0.0,0.0,0.0,0.0,vehroute_350.0 tripinfo_350.0,DEFAULT_VEHTYPE,1.0,
2631,227.10,1595.0,,0.0,55.56,2.7,2012.0,,489.65,55.55,417.0,6336.15,13.12,0.0,0.0,13.12,0.0,vehroute_227.10 tripinfo_227.10,DEFAULT_VEHTYPE,1.0,
2632,164.7,1602.0,,0.0,55.57,2.0,2012.0,,494.71,55.55,410.0,6329.3,3.39,0.0,0.0,6.23,0.0,vehroute_164.7 tripinfo_164.7,DEFAULT_VEHTYPE,1.0,
2633,183.15,1746.0,,0.0,55.56,2.25,2012.0,,492.01,55.56,266.0,4417.27,0.0,0.0,0.0,0.0,0.0,vehroute_183.15 tripinfo_183.15,DEFAULT_VEHTYPE,1.0,
2634,133.13,1589.0,,0.0,55.57,0.77,2013.0,,475.38,55.57,424.0,2935.61,0.0,0.0,0.0,264.09,0.0,vehroute_133.13 tripinfo_133.13,DEFAULT_VEHTYPE,1.0,
2635,303.0,1812.0,,0.0,55.57,12.0,2013.0,,489.65,55.55,201.0,3290.02,15.73,0.0,0.0,15.74,0.0,vehroute_303.0 tripinfo_303.0,DEFAULT_VEHTYPE,1.0,
2636,351.1,1854.0,,0.0,55.55,1.06,2013.0,,494.71,55.55,159.0,2664.89,10.27,0.0,0.0,19.98,0.0,vehroute_351.1 tripinfo_351.1,DEFAULT_VEHTYPE,1.0,
2637,346.1,1902.0,,0.0,55.55,2.0,2014.0,,489.02,55.57,112.0,2277.96,0.0,0.0,0.0,0.0,0.0,vehroute_346.1 tripinfo_346.1,DEFAULT_VEHTYPE,1.0,
2638,180.7,1690.0,,0.0,55.56,2.5,2015.0,,489.02,55.57,325.0,4966.98,13.34,0.0,0.0,19.36,0.0,vehroute_180.7 tripinfo_180.7,DEFAULT_VEHTYPE,1.0,
2639,217.14,1688.0,,0.0,55.55,0.5,2015.0,,481.41,55.56,327.0,5042.06,16.23,0.0,0.0,16.23,0.0,vehroute_217.14 tripinfo_217.14,DEFAULT_VEHTYPE,1.0,
2640,203.16,1658.0,,0.0,55.55,0.11,2016.0,,489.02,55.57,358.0,5635.79,0.0,0.0,0.0,5.15,0.0,vehroute_203.16 tripinfo_203.16,DEFAULT_VEHTYPE,1.0,
2641,277.1,1870.0,,0.0,55.57,0.77,2016.0,,476.21,55.57,146.0,2695.47,0.0,0.0,0.0,0.0,0.0,vehroute_277.1 tripinfo_277.1,DEFAULT_VEHTYPE,1.0,
2642,255.2,1202.0,,0.0,55.55,2.0,2017.0,,475.38,55.57,815.0,6329.3,9.26,0.0,0.0,411.68,0.0,vehroute_255.2 tripinfo_255.2,DEFAULT_VEHTYPE,1.0,
2643,289.0,1806.0,,0.0,55.57,6.0,2017.0,,486.13,55.56,211.0,3512.31,1.0,0.0,0.0,9.47,0.0,vehroute_289.0 tripinfo_289.0,DEFAULT_VEHTYPE,1.0,
2644,182.3,1579.0,,0.0,55.56,4.0,2018.0,,489.65,55.55,439.0,6266.9,26.87,0.0,0.0,39.95,0.0,vehroute_182.3 tripinfo_182.3,DEFAULT_VEHTYPE,1.0,
2645,269.0,1810.0,,0.0,55.57,10.0,2019.0,,491.1,55.55,209.0,3632.26,0.0,0.0,0.0,0.0,0.0,vehroute_269.0 tripinfo_269.0,DEFAULT_VEHTYPE,1.0,
2646,189.8,1415.0,,0.0,55.57,0.72,2020.0,,475.38,55.57,605.0,3431.49,0.0,0.0,0.0,409.28,0.0,vehroute_189.8 tripinfo_189.8,DEFAULT_VEHTYPE,1.0,
2647,185.12,1583.0,,0.0,55.56,8.0,2020.0,,487.52,55.56,437.0,6639.74,0.0,0.0,0.0,11.13,0.0,vehroute_185.12 tripinfo_185.12,DEFAULT_VEHTYPE,1.0,
2648,163.15,1695.0,,0.0,55.57,0.88,2022.0,,487.52,55.56,327.0,5205.87,3.94,0.0,0.0,3.94,0.0,vehroute_163.15 tripinfo_163.15,DEFAULT_VEHTYPE,1.0,
2649,369.0,1812.0,,0.0,55.56,12.0,2023.0,,491.1,55.55,211.0,3626.46,0.0,0.0,0.0,2.12,0.0,vehroute_369.0 tripinfo_369.0,DEFAULT_VEHTYPE,1.0,
2650,338.0,1816.0,,0.0,55.55,16.0,2026.0,,481.41,55.56,210.0,3626.46,1.0,0.0,0.0,1.0,0.0,vehroute_338.0 tripinfo_338.0,DEFAULT_VEHTYPE,1.0,
2651,275.2,1890.0,,0.0,55.57,0.0,2027.0,,490.96,55.57,137.0,2584.63,0.0,0.0,0.0,0.0,0.0,vehroute_275.2 tripinfo_275.2,DEFAULT_VEHTYPE,1.0,
2652,301.2,1929.0,,0.0,55.57,0.43,2027.0,,489.02,55.57,98.0,1990.1,0.51,0.0,0.0,6.67,0.0,vehroute_301.2 tripinfo_301.2,DEFAULT_VEHTYPE,1.0,
2653,223.9,1350.0,,0.0,55.56,0.0,2028.0,,476.21,55.57,678.0,7663.12,8.18,0.0,0.0,178.2,0.0,vehroute_223.9 tripinfo_223.9,DEFAULT_VEHTYPE,1.0,
2654,279.0,1808.0,,0.0,55.57,8.0,2028.0,,489.02,55.57,220.0,3691.47,3.83,0.0,0.0,3.83,0.0,vehroute_279.0 tripinfo_279.0,DEFAULT_VEHTYPE,1.0,
2655,178.12,1575.0,,0.0,55.56,0.0,2029.0,,475.38,55.57,454.0,3512.31,6.22,0.0,0.0,252.6,0.0,vehroute_178.12 tripinfo_178.12,DEFAULT_VEHTYPE,1.0,
2656,161.15,1611.0,,0.0,55.57,0.48,2030.0,,492.01,55.56,419.0,6178.39,0.0,0.0,0.0,25.55,0.0,vehroute_161.15 tripinfo_161.15,DEFAULT_VEHTYPE,1.0,
2657,383.1,1872.0,,0.0,55.56,2.77,2030.0,,481.41,55.56,158.0,2608.87,9.07,0.0,0.0,22.23,0.0,vehroute_383.1 tripinfo_383.1,DEFAULT_VEHTYPE,1.0,
2658,299.2,1895.0,,0.0,55.57,0.26,2030.0,,475.38,55.57,135.0,2435.49,10.75,0.0,0.0,10.75,0.0,vehroute_299.2 tripinfo_299.2,DEFAULT_VEHTYPE,1.0,
