,begin,end,link,counts
0,0.0,900.0,10_16,71.0
1,0.0,900.0,10_4,80.0
2,0.0,900.0,10_9,109.0
3,0.0,900.0,12_13,185.0
4,0.0,900.0,13_12,72.0
5,0.0,900.0,13_14,35.0
6,0.0,900.0,13_19,66.0
7,0.0,900.0,13_7,87.0
8,0.0,900.0,14_13,22.0
9,0.0,900.0,14_15,53.0
10,0.0,900.0,14_20,136.0
11,0.0,900.0,14_8,17.0
12,0.0,900.0,15_14,9.0
13,0.0,900.0,15_16,67.0
14,0.0,900.0,15_21,58.0
15,0.0,900.0,15_9,33.0
16,0.0,900.0,16_10,57.0
17,0.0,900.0,16_15,96.0
18,0.0,900.0,16_17,108.0
19,0.0,900.0,16_22,70.0
20,0.0,900.0,17_16,122.0
21,0.0,900.0,18_19,171.0
22,0.0,900.0,19_13,45.0
23,0.0,900.0,19_18,103.0
24,0.0,900.0,19_20,136.0
25,0.0,900.0,19_25,113.0
26,0.0,900.0,1_7,182.0
27,0.0,900.0,20_14,185.0
28,0.0,900.0,20_19,61.0
29,0.0,900.0,20_21,2.0
30,0.0,900.0,20_26,45.0
31,0.0,900.0,21_15,59.0
32,0.0,900.0,21_20,5.0
33,0.0,900.0,21_22,75.0
34,0.0,900.0,21_27,93.0
35,0.0,900.0,22_16,118.0
36,0.0,900.0,22_21,61.0
37,0.0,900.0,22_23,85.0
38,0.0,900.0,22_28,31.0
39,0.0,900.0,23_22,152.0
40,0.0,900.0,25_19,135.0
41,0.0,900.0,25_26,98.0
42,0.0,900.0,25_31,86.0
43,0.0,900.0,26_20,67.0
44,0.0,900.0,26_25,52.0
45,0.0,900.0,26_27,134.0
46,0.0,900.0,26_32,79.0
47,0.0,900.0,27_21,154.0
48,0.0,900.0,27_26,92.0
49,0.0,900.0,27_28,86.0
50,0.0,900.0,27_33,92.0
51,0.0,900.0,28_22,22.0
52,0.0,900.0,28_27,68.0
53,0.0,900.0,28_34,115.0
54,0.0,900.0,2_8,197.0
55,0.0,900.0,31_25,183.0
56,0.0,900.0,32_26,174.0
57,0.0,900.0,33_27,169.0
58,0.0,900.0,34_28,98.0
59,0.0,900.0,3_9,134.0
60,0.0,900.0,4_10,181.0
61,0.0,900.0,7_1,80.0
62,0.0,900.0,7_13,97.0
63,0.0,900.0,7_8,101.0
64,0.0,900.0,8_14,134.0
65,0.0,900.0,8_2,51.0
66,0.0,900.0,8_7,64.0
67,0.0,900.0,8_9,198.0
68,0.0,900.0,9_10,80.0
69,0.0,900.0,9_15,123.0
70,0.0,900.0,9_3,57.0
71,0.0,900.0,9_8,162.0
72,900.0,1800.0,10_16,83.0
73,900.0,1800.0,10_4,172.0
74,900.0,1800.0,10_9,64.0
75,900.0,1800.0,12_13,172.0
76,900.0,1800.0,13_12,111.0
77,900.0,1800.0,13_14,44.0
78,900.0,1800.0,13_19,89.0
79,900.0,1800.0,13_7,76.0
80,900.0,1800.0,14_13,45.0
81,900.0,1800.0,14_15,62.0
82,900.0,1800.0,14_20,161.0
83,900.0,1800.0,14_8,82.0
84,900.0,1800.0,15_14,7.0
85,900.0,1800.0,15_16,101.0
86,900.0,1800.0,15_21,60.0
87,900.0,1800.0,15_9,21.0
88,900.0,1800.0,16_10,117.0
89,900.0,1800.0,16_15,131.0
90,900.0,1800.0,16_17,152.0
91,900.0,1800.0,16_22,98.0
92,900.0,1800.0,17_16,182.0
93,900.0,1800.0,18_19,170.0
94,900.0,1800.0,19_13,30.0
95,900.0,1800.0,19_18,142.0
96,900.0,1800.0,19_20,163.0
97,900.0,1800.0,19_25,147.0
98,900.0,1800.0,1_7,208.0
99,900.0,1800.0,20_14,222.0
100,900.0,1800.0,20_19,81.0
101,900.0,1800.0,20_21,19.0
102,900.0,1800.0,20_26,68.0
103,900.0,1800.0,21_15,42.0
104,900.0,1800.0,21_20,9.0
105,900.0,1800.0,21_22,92.0
106,900.0,1800.0,21_27,128.0
107,900.0,1800.0,22_16,109.0
108,900.0,1800.0,22_21,84.0
109,900.0,1800.0,22_23,143.0
110,900.0,1800.0,22_28,53.0
111,900.0,1800.0,23_22,144.0
112,900.0,1800.0,25_19,135.0
113,900.0,1800.0,25_26,122.0
114,900.0,1800.0,25_31,154.0
115,900.0,1800.0,26_20,85.0
116,900.0,1800.0,26_25,87.0
117,900.0,1800.0,26_27,137.0
118,900.0,1800.0,26_32,119.0
119,900.0,1800.0,27_21,142.0
120,900.0,1800.0,27_26,120.0
121,900.0,1800.0,27_28,122.0
122,900.0,1800.0,27_33,128.0
123,900.0,1800.0,28_22,54.0
124,900.0,1800.0,28_27,104.0
125,900.0,1800.0,28_34,172.0
126,900.0,1800.0,2_8,141.0
127,900.0,1800.0,31_25,172.0
128,900.0,1800.0,32_26,155.0
129,900.0,1800.0,33_27,145.0
130,900.0,1800.0,34_28,179.0
131,900.0,1800.0,3_9,138.0
132,900.0,1800.0,4_10,155.0
133,900.0,1800.0,7_1,87.0
134,900.0,1800.0,7_13,114.0
135,900.0,1800.0,7_8,148.0
136,900.0,1800.0,8_14,121.0
137,900.0,1800.0,8_2,86.0
138,900.0,1800.0,8_7,81.0
139,900.0,1800.0,8_9,242.0
140,900.0,1800.0,9_10,126.0
141,900.0,1800.0,9_15,99.0
142,900.0,1800.0,9_3,86.0
143,900.0,1800.0,9_8,168.0
144,1800.0,2700.0,10_16,68.0
145,1800.0,2700.0,10_4,114.0
146,1800.0,2700.0,10_9,66.0
147,1800.0,2700.0,12_13,158.0
148,1800.0,2700.0,13_12,114.0
149,1800.0,2700.0,13_14,61.0
150,1800.0,2700.0,13_19,87.0
151,1800.0,2700.0,13_7,110.0
152,1800.0,2700.0,14_13,63.0
153,1800.0,2700.0,14_15,60.0
154,1800.0,2700.0,14_20,163.0
155,1800.0,2700.0,14_8,135.0
156,1800.0,2700.0,15_14,12.0
157,1800.0,2700.0,15_16,108.0
158,1800.0,2700.0,15_21,54.0
159,1800.0,2700.0,15_9,22.0
160,1800.0,2700.0,16_10,60.0
161,1800.0,2700.0,16_15,116.0
162,1800.0,2700.0,16_17,149.0
163,1800.0,2700.0,16_22,87.0
164,1800.0,2700.0,17_16,174.0
165,1800.0,2700.0,18_19,173.0
166,1800.0,2700.0,19_13,42.0
167,1800.0,2700.0,19_18,158.0
168,1800.0,2700.0,19_20,129.0
169,1800.0,2700.0,19_25,143.0
170,1800.0,2700.0,1_7,183.0
171,1800.0,2700.0,20_14,227.0
172,1800.0,2700.0,20_19,92.0
173,1800.0,2700.0,20_21,20.0
