,begin,end,link,counts
0,0.0,900.0,10_16,68.0
1,0.0,900.0,10_4,66.0
2,0.0,900.0,10_9,91.0
3,0.0,900.0,12_13,157.0
4,0.0,900.0,13_12,98.0
5,0.0,900.0,13_14,86.0
6,0.0,900.0,13_19,60.0
7,0.0,900.0,13_7,56.0
8,0.0,900.0,14_13,32.0
9,0.0,900.0,14_15,51.0
10,0.0,900.0,14_20,140.0
11,0.0,900.0,14_8,57.0
12,0.0,900.0,15_14,17.0
13,0.0,900.0,15_16,56.0
14,0.0,900.0,15_21,43.0
15,0.0,900.0,15_9,54.0
16,0.0,900.0,16_10,42.0
17,0.0,900.0,16_15,95.0
18,0.0,900.0,16_17,101.0
19,0.0,900.0,16_22,105.0
20,0.0,900.0,17_16,131.0
21,0.0,900.0,18_19,203.0
22,0.0,900.0,19_13,49.0
23,0.0,900.0,19_18,87.0
24,0.0,900.0,19_20,104.0
25,0.0,900.0,19_25,152.0
26,0.0,900.0,1_7,192.0
27,0.0,900.0,20_14,143.0
28,0.0,900.0,20_19,73.0
29,0.0,900.0,20_21,14.0
30,0.0,900.0,20_26,62.0
31,0.0,900.0,21_15,60.0
32,0.0,900.0,21_20,13.0
33,0.0,900.0,21_22,70.0
34,0.0,900.0,21_27,73.0
35,0.0,900.0,22_16,124.0
36,0.0,900.0,22_21,61.0
37,0.0,900.0,22_23,121.0
38,0.0,900.0,22_28,30.0
39,0.0,900.0,23_22,157.0
40,0.0,900.0,25_19,98.0
41,0.0,900.0,25_26,111.0
42,0.0,900.0,25_31,127.0
43,0.0,900.0,26_20,68.0
44,0.0,900.0,26_25,65.0
45,0.0,900.0,26_27,139.0
46,0.0,900.0,26_32,107.0
47,0.0,900.0,27_21,137.0
48,0.0,900.0,27_26,110.0
49,0.0,900.0,27_28,85.0
50,0.0,900.0,27_33,107.0
51,0.0,900.0,28_22,29.0
52,0.0,900.0,28_27,90.0
53,0.0,900.0,28_34,113.0
54,0.0,900.0,2_8,134.0
55,0.0,900.0,31_25,142.0
56,0.0,900.0,32_26,161.0
57,0.0,900.0,33_27,183.0
58,0.0,900.0,34_28,134.0
59,0.0,900.0,3_9,131.0
60,0.0,900.0,4_10,202.0
61,0.0,900.0,7_1,86.0
62,0.0,900.0,7_13,88.0
63,0.0,900.0,7_8,88.0
64,0.0,900.0,8_14,92.0
65,0.0,900.0,8_2,77.0
66,0.0,900.0,8_7,89.0
67,0.0,900.0,8_9,172.0
68,0.0,900.0,9_10,50.0
69,0.0,900.0,9_15,91.0
70,0.0,900.0,9_3,83.0
71,0.0,900.0,9_8,182.0
72,900.0,1800.0,10_16,111.0
73,900.0,1800.0,10_4,92.0
74,900.0,1800.0,10_9,113.0
75,900.0,1800.0,12_13,166.0
76,900.0,1800.0,13_12,118.0
77,900.0,1800.0,13_14,34.0
78,900.0,1800.0,13_19,55.0
79,900.0,1800.0,13_7,111.0
80,900.0,1800.0,14_13,63.0
81,900.0,1800.0,14_15,66.0
82,900.0,1800.0,14_20,166.0
83,900.0,1800.0,14_8,21.0
84,900.0,1800.0,15_14,21.0
